,clean_text,Party,Textblob_Sentiments,Emotions
0,living dream. cameraman camera cameraception camera cameras marriott feet tommulcair... instagram.com/p/upqepkxw/,ndp,0.0,Neutral
1,justin trudeau's reasons thanksgiving. today's montreal blog bit.ly/jqkfwr elxn poll quebec montreal,liberals,0.0,Neutral
2,butt......butt......we're allergic latex! makes us sneeze nbpoli cdnpoli pic.twitter.com/talllajk,unrelated tweets,0.0,Neutral
3,massive explosions peace march turkey. killed. turkey continues implode violence. cdnpoli twitter.com/telegraph/status/ ...,unrelated tweets,-0.1,Negative
4,mulcair suggests bad blood trudeau worldwideherald.com/bammt readychange ndp pic.twitter.com/zgxmwogjk,ndp,-0.6999999999999998,Negative
5,polqc se sort de la marde avec harper et pret retourner avec trudeau? polcan,liberals,0.0,Neutral
6,harper gave help countries' get right wing govt's elected. boingboing.net////canadian-tories-funneled-m-i.html ... cdnpoli elxn,conservatives,0.2857142857142857,Positive
7,tommy taylor added,unrelated tweets,0.0,Neutral
9,tracy retweeted tsec,unrelated tweets,0.0,Neutral
10,icymi predicting win oct. bit.ly/jfcfsv cdnpoli,unrelated tweets,0.8,Positive
11,cbc.ca/news/canada/ottawa/canada-election--ottawa-illegal-sign-removal-. ...,unrelated tweets,0.0,Neutral
12,pjnet,unrelated tweets,0.0,Neutral
13,cop told sex assault prevention students wear niqab avoid attacks wud b seen feminist supporter outrageous cdnpoli,unrelated tweets,-1.0,Negative
15,it. pls canada,unrelated tweets,0.0,Neutral
16,readychange ndp tmpm fb.me/nxiue,ndp,0.0,Neutral
17,believe guy vows spiral canada huge debt tax butts lead?are crazy? trudeau elxn,liberals,-0.09999999999999995,Negative
18,quick vote jays game. realchange,liberals,-0.03333333333333335,Negative
19,cdnpoli ndp thomasmulcair elxn elxn,ndp,0.0,Neutral
20,want make vote count oust cpc. check strategicvoting.ca/,conservatives,0.0,Neutral
21,en rappel pour le plaisir... trudeau elxn polcan polqc pic.twitter.com/ppmgccfhq,liberals,0.0,Neutral
22,uk slammed un envoy failing understand plight calais refugees ln.is/independent.co.uk/sunn ... united nations asylum conservative tory,conservatives,0.0,Neutral
23,election. cdnpoli,unrelated tweets,0.0,Neutral
24,hari balaraman added,unrelated tweets,0.0,Neutral
25,lol mdr elxn elxn polcan cdnpoli niqab twitter.com/guyalepage/status/ ...,unrelated tweets,0.8,Positive
26,record,unrelated tweets,0.0,Neutral
27,ashleymadison?! barbaricculturalpractices twitter.com/sabou/status/ ...,unrelated tweets,0.0,Neutral
28,lapresse.ca/actualites/politique/politique-canadienne///--la-troisieme-voie-de-thomas-mulcair.php ... pic.twitter.com/srooiirla,ndp,0.0,Neutral
29,mulcair pret vendre sa mere pr gagner ?le npd <<debarasse>> du bloc mulcair adouci le ton polcan fed ln.is/huffingtonpost.ca/yjykg ... polqc,ndp,-0.5,Negative
30,pic.twitter.com/gltrrztoy,unrelated tweets,0.0,Neutral
31,partisan,unrelated tweets,0.0,Neutral
32,saw mulcair body-shame dog today. trudeau stood,liberals,0.0,Neutral
33,"hear harper say b spending binge"" radio? that? oh ya",conservatives,0.0,Neutral
34,learned harper killing economy value dollar,conservatives,0.0,Neutral
35,harper published platform yesterday. new ideas. wants stay course. cdnpoli pic.twitter.com/ajajabh,conservatives,0.1681818181818182,Positive
